State,County,ANSI,Ag District,Ag District Code,CPI,Notes
MINNESOTA,AITKIN,27001,EAST CENTRAL,60,37,
MINNESOTA,ANOKA,27003,EAST CENTRAL,60,32,
MINNESOTA,BECKER,27005,NORTHWEST,10,53,
MINNESOTA,BELTRAMI,27007,NORTH CENTRAL,20,36,
MINNESOTA,BENTON,27009,CENTRAL,50,57,
MINNESOTA,BIG STONE,27011,WEST CENTRAL,40,78,
MINNESOTA,BLUE EARTH,27013,SOUTH CENTRAL,80,80,
MINNESOTA,BROWN,27015,SOUTH CENTRAL,80,82,
MINNESOTA,CARLTON,27017,EAST CENTRAL,60,40,
MINNESOTA,CARVER,27019,CENTRAL,50,78,
MINNESOTA,CASS,27021,NORTH CENTRAL,20,43,
MINNESOTA,CHIPPEWA,27023,WEST CENTRAL,40,87,
MINNESOTA,CHISAGO,27025,EAST CENTRAL,60,48,
MINNESOTA,CLAY,27027,NORTHWEST,10,76,
MINNESOTA,CLEARWATER,27029,NORTHWEST,10,47,
MINNESOTA,COOK,27031,NORTHEAST,30,10,Secondary source used for CPI
MINNESOTA,COTTONWOOD,27033,SOUTHWEST,70,87,
MINNESOTA,CROW WING,27035,EAST CENTRAL,60,36,Secondary source used for CPI
MINNESOTA,DAKOTA,27037,SOUTHEAST,90,57,
MINNESOTA,DODGE,27039,SOUTHEAST,90,88,
MINNESOTA,DOUGLAS,27041,WEST CENTRAL,40,67,
MINNESOTA,FARIBAULT,27043,SOUTH CENTRAL,80,87,
MINNESOTA,FILLMORE,27045,SOUTHEAST,90,68,
MINNESOTA,FREEBORN,27047,SOUTH CENTRAL,80,84,
MINNESOTA,GOODHUE,27049,SOUTHEAST,90,70,
MINNESOTA,GRANT,27051,WEST CENTRAL,40,81,
MINNESOTA,HENNEPIN,27053,EAST CENTRAL,60,47,
MINNESOTA,HOUSTON,27055,SOUTHEAST,90,45,
MINNESOTA,HUBBARD,27057,NORTH CENTRAL,20,41,
MINNESOTA,ISANTI,27059,EAST CENTRAL,60,42,
MINNESOTA,ITASCA,27061,NORTH CENTRAL,20,44,
MINNESOTA,JACKSON,27063,SOUTHWEST,70,87,
MINNESOTA,KANABEC,27065,EAST CENTRAL,60,58,
MINNESOTA,KANDIYOHI,27067,CENTRAL,50,77,
MINNESOTA,KITTSON,27069,NORTHWEST,10,60,
MINNESOTA,KOOCHICHING,27071,NORTH CENTRAL,20,32,Secondary source used for CPI
MINNESOTA,LAC QUI PARLE,27073,WEST CENTRAL,40,82,
MINNESOTA,LAKE,27075,NORTHEAST,30,11,Secondary source used for CPI
MINNESOTA,LAKE OF THE WOODS,27077,NORTH CENTRAL,20,27,
MINNESOTA,LE SUEUR,27079,SOUTH CENTRAL,80,78,
MINNESOTA,LINCOLN,27081,SOUTHWEST,70,84,
MINNESOTA,LYON,27083,SOUTHWEST,70,84,
MINNESOTA,MAHNOMEN,27087,NORTHWEST,10,69,
MINNESOTA,MARSHALL,27089,NORTHWEST,10,70,
MINNESOTA,MARTIN,27091,SOUTH CENTRAL,80,87,
MINNESOTA,MCLEOD,27085,CENTRAL,50,83,
MINNESOTA,MEEKER,27093,CENTRAL,50,72,
MINNESOTA,MILLE LACS,27095,EAST CENTRAL,60,53,
MINNESOTA,MORRISON,27097,CENTRAL,50,49,
MINNESOTA,MOWER,27099,SOUTHEAST,90,84,
MINNESOTA,MURRAY,27101,SOUTHWEST,70,86,
MINNESOTA,NICOLLET,27103,SOUTH CENTRAL,80,81,
MINNESOTA,NOBLES,27105,SOUTHWEST,70,90,
MINNESOTA,NORMAN,27107,NORTHWEST,10,79,
MINNESOTA,OLMSTED,27109,SOUTHEAST,90,71,
MINNESOTA,OTTER TAIL,27111,WEST CENTRAL,40,56,
MINNESOTA,PENNINGTON,27113,NORTHWEST,10,72,
MINNESOTA,PINE,27115,EAST CENTRAL,60,42,Secondary source used for CPI
MINNESOTA,PIPESTONE,27117,SOUTHWEST,70,83,
MINNESOTA,POLK,27119,NORTHWEST,10,77,
MINNESOTA,POPE,27121,WEST CENTRAL,40,65,
MINNESOTA,RAMSEY,27123,EAST CENTRAL,60,17,
MINNESOTA,RED LAKE,27125,NORTHWEST,10,73,
MINNESOTA,REDWOOD,27127,SOUTHWEST,70,85,
MINNESOTA,RENVILLE,27129,CENTRAL,50,87,
MINNESOTA,RICE,27131,SOUTH CENTRAL,80,73,
MINNESOTA,ROCK,27133,SOUTHWEST,70,85,
MINNESOTA,ROSEAU,27135,NORTHWEST,10,52,
MINNESOTA,SCOTT,27139,CENTRAL,50,36,
MINNESOTA,SHERBURNE,27141,CENTRAL,50,87,
MINNESOTA,SIBLEY,27143,CENTRAL,50,22,
MINNESOTA,ST. LOUIS,27137,NORTHEAST,30,68,
MINNESOTA,STEARNS,27145,CENTRAL,50,62,
MINNESOTA,STEELE,27147,SOUTH CENTRAL,80,84,
MINNESOTA,STEVENS,27149,WEST CENTRAL,40,83,
MINNESOTA,SWIFT,27151,WEST CENTRAL,40,77,
MINNESOTA,TODD,27153,CENTRAL,50,54,
MINNESOTA,TRAVERSE,27155,WEST CENTRAL,40,87,
MINNESOTA,WABASHA,27157,SOUTHEAST,90,60,
MINNESOTA,WADENA,27159,CENTRAL,50,38,
MINNESOTA,WASECA,27161,SOUTH CENTRAL,80,83,
MINNESOTA,WASHINGTON,27163,EAST CENTRAL,60,48,
MINNESOTA,WATONWAN,27165,SOUTH CENTRAL,80,83,
MINNESOTA,WILKIN,27167,WEST CENTRAL,40,84,
MINNESOTA,WINONA,27169,SOUTHEAST,90,49,
MINNESOTA,WRIGHT,27171,CENTRAL,50,66,
MINNESOTA,YELLOW MEDICINE,27173,WEST CENTRAL,40,84,
